,GEOID,FHVDIFF,NYPDviolationDIFF,NYPDmisdemeanorDIFF,NYPDfelonyDIFF,units,C1DIFF,C2DIFF,Pop_Den_16DIFF,Median_Household_Income_16DIFF,Gini_Index_16DIFF,Ave_Commute_Min_16DIFF,Unemployed_rate_16DIFF,Moved_in_4years_16DIFF,licenseDiff
153,36047019800,2.197001011,-0.428571429,0,0,,0.126725714,0.061224899,-0.051061621,-0.023563636,0.048152296,0.004354688,-0.09121929,0.301333364,-0.333333333
154,36047019900,1.266525214,-0.027777778,0.137254902,0.092307692,,0.192208613,0.209539325,0.206426902,0.169105475,0.019020551,0.009718939,0.751995543,,0.166666667
155,36047020000,2.196993886,-0.555555556,-0.259259259,-0.3,,0.076936542,0.06461546,0.038357381,-0.034965517,0.035857514,0.060776099,-0.368232229,-0.120125084,-0.7
156,36047020100,1.266513272,0.2,0.116883117,-0.115384615,,0.314516076,0.163631287,-0.01492542,0.124899816,-0.049452862,0.010842557,-0.074413964,0.134849307,0.5
157,36047020200,2.196993884,0.571428571,-0.095238095,-0.529411765,,0.085402074,0.131282048,-0.052557364,-0.030057172,-0.067059357,0.087665028,0.106564737,-0.407010502,-0.5
158,36047020300,1.121969331,-0.2,0.333333333,0.517241379,,0.272620096,0.170816286,0.052132791,-0.037355294,0.015705579,0.052681142,-0.277444905,-0.237262749,0
159,36047020400,2.196993885,-0.166666667,0.153846154,0,,0.13579937,-0.031023821,0.035439016,0.065916644,0.002387205,-0.057326793,-0.03953069,-0.033932267,
160,36047020500,1.121384588,3.666666667,0.038461538,-0.027777778,,0.296562337,0.135120249,-0.016017465,0.032,0.088547549,0.077941269,0.262897315,0.397012313,-0.285714286
161,36047020600,2.196993885,0.083333333,0.363636364,0.666666667,,0.121751747,0.0214842,-0.054693244,-0.068517879,0.032797858,0.047332833,-0.240119282,,0.5
162,36047020700,1.121612363,0.555555556,0.177777778,-0.064516129,,0.322137201,0.070538984,-0.049823579,0.020276725,-0.00216544,-0.010393372,-0.378558533,,0.4
163,36047020800,2.196993884,-0.3,-0.233333333,-0.260869565,,0.136285496,0.051181187,-0.02444994,-0.062550221,0.070480281,-0.021692071,0.174355429,0.102983151,-0.75
164,36047021000,2.196993884,-0.333333333,0.175,0.068965517,,0.12921447,0.327768978,-0.087343328,0.019319351,0.029372497,0.009072699,-0.292735406,-0.11331974,0
165,36047021100,1.40483501,-0.066666667,-0.12195122,-0.185185185,,0.400331485,0.192268703,0.157856294,0.067651163,0.039160045,0.003208375,-0.134674444,-0.128304344,-0.25
